symbol,time,price,volumeDay,volumeSecond,PCI,volumeMinute,4% - 2%,2% - 1%,firstHourLow,
CTXR,10:31:11,2.631,1.6378269E7,11785,0.006118546845124118,603656,1,1,2.68,
NGD,12:16:30,1.77,1151177.0,140918,0.008547008547008619,141818,0,0,1.77,
SVRA,16:00:07,1.64,1148852.0,90640,0.018633540372670686,108293,0,0,1.65,
FNMA,11:11:50,1.4785,5343029.0,10511,0.005782312925170036,175262,0,0,1.5,
CIDM,16:00:04,1.27,4429360.0,19000,0.007936507936507943,126482,0,0,1.27,
KTRA,11:15:35,2.28,1.7760916E7,18720,0.00880492013627707,194103,0,0,2.38,
BEST,10:53:18,1.7198,1075357.0,10200,0.005730994152046802,199151,0,0,1.72,
BRQS,10:40:24,1.07,3.2229501E7,21938,0.009433962264150952,272061,1,1,1.08,
PHUN,11:29:13,1.35,1019981.0,175727,0.007387508394895918,182784,0,0,1.35,
BLIN,12:56:46,5.3828,5.6879302E7,18196,0.005548187031813186,269302,0,0,5.6722,
IDEX,11:02:17,2.755,5783603.0,122771,0.005474452554744409,757916,0,0,2.78,
EVFM,15:41:55,1.1,3693338.0,50000,0.009174311926605512,109689,0,0,1.11,
PRQR,16:00:07,6.63,590249.0,125439,0.007598784194528849,131807,0,0,6.63,
MEDS,10:58:49,7.24,6.5078511E7,59307,0.024045261669024036,851887,0,0,7.512,
BSQR,14:32:50,4.23,2.1094603E7,26000,0.007142857142857202,172884,1,1,4.25,
ADMP,12:19:43,1.05,2135319.0,10000,0.008839354342813315,152904,0,0,1.06,
COCP,12:18:31,1.15,1346972.0,19900,0.008771929824561412,426053,0,0,1.17,
ITRM,12:28:23,1.315,1.9880244E7,102549,0.007662835249042153,324892,0,0,1.36,
VERB,11:27:43,1.69,2120975.0,11300,0.005952380952380958,230797,0,0,1.7,
XELA,11:24:14,1.95,2.6087185E7,37249,0.005154639175257737,313566,0,0,1.95,
CRBP,12:17:33,1.69,1000494.0,12641,0.005952380952380958,308637,0,0,1.73,
AHT,12:04:46,2.745,5.1445048E7,30994,0.00545767554302037,895517,0,0,2.76,
BLIN,11:05:14,11.9,5.5601675E7,21080,0.005917159763313634,727984,0,0,12.11,
VISL,11:17:11,3.0,7961055.0,31590,0.006306185428686485,152914,0,0,3.06,
ENG,15:31:34,2.8799,4040558.0,110175,0.006958041958042046,136249,0,0,2.91,
OCGN,13:30:49,7.76,2.5593687E7,22778,0.006485084306095956,214684,0,0,7.771,
